128,1935-02-17,1934,AC Milan,Pro Vercelli,1-0,1,0,1,H
129,1935-02-24,1934,Inter,US Livorno,5-1,5,1,1,H
130,1935-02-24,1934,Brescia Calcio,AS Roma,2-1,2,1,1,H
131,1935-02-24,1934,ACF Fiorentina,AC Milan,1-0,1,0,1,H
132,1935-02-24,1934,Lazio Roma,Unione Triestina,0-0,0,0,1,D
133,1935-02-24,1934,SSC Napoli,Juventus,0-0,0,0,1,D
134,1935-02-24,1934,Pro Vercelli,US Palermo,0-0,0,0,1,D
135,1935-02-24,1934,Sampierdarenese,US Alessandria 1912,2-1,2,1,1,H
136,1935-02-24,1934,Torino FC,Bologna FC,0-1,0,1,1,A
137,1935-03-03,1934,AC Milan,Brescia Calcio,0-1,0,1,1,A
138,1935-03-03,1934,Unione Triestina,Inter,1-1,1,1,1,D
139,1935-03-03,1934,Pro Vercelli,ACF Fiorentina,2-0,2,0,1,H
140,1935-03-03,1934,Juventus,Sampierdarenese,4-0,4,0,1,H
141,1935-03-03,1934,Bologna FC,Lazio Roma,1-2,1,2,1,A
142,1935-03-03,1934,US Alessandria 1912,Torino FC,3-0,3,0,1,H
143,1935-03-03,1934,AS Roma,SSC Napoli,4-0,4,0,1,H
144,1935-03-03,1934,US Livorno,US Palermo,0-3,0,3,1,A
145,1935-03-10,1934,Lazio Roma,US Alessandria 1912,0-1,0,1,1,A
146,1935-03-10,1934,Unione Triestina,US Livorno,1-2,1,2,1,A
147,1935-03-10,1934,Torino FC,Juventus,1-3,1,3,1,A
148,1935-03-10,1934,Sampierdarenese,AS Roma,1-0,1,0,1,H
149,1935-03-10,1934,SSC Napoli,AC Milan,0-1,0,1,1,A
150,1935-03-10,1934,Brescia Calcio,Pro Vercelli,3-0,3,0,1,H
151,1935-03-10,1934,Inter,Bologna FC,1-0,1,0,1,H
152,1935-03-10,1934,US Palermo,ACF Fiorentina,0-0,0,0,1,D
153,1935-03-17,1934,ACF Fiorentina,Brescia Calcio,1-0,1,0,1,H
154,1935-03-17,1934,AS Roma,Torino FC,2-1,2,1,1,H
155,1935-03-17,1934,Pro Vercelli,SSC Napoli,1-1,1,1,1,D
156,1935-03-17,1934,US Palermo,Unione Triestina,2-0,2,0,1,H
157,1935-03-17,1934,Juventus,Lazio Roma,6-1,6,1,1,H
158,1935-03-17,1934,Bologna FC,US Livorno,4-0,4,0,1,H
159,1935-03-17,1934,US Alessandria 1912,Inter,1-3,1,3,1,A
160,1935-03-17,1934,AC Milan,Sampierdarenese,2-1,2,1,1,H
161,1935-03-31,1934,Inter,Juventus,0-0,0,0,1,D
162,1935-03-31,1934,Brescia Calcio,US Palermo,2-2,2,2,1,D
163,1935-03-31,1934,Lazio Roma,AS Roma,0-0,0,0,1,D
164,1935-03-31,1934,US Livorno,US Alessandria 1912,1-0,1,0,1,H
165,1935-03-31,1934,SSC Napoli,ACF Fiorentina,1-1,1,1,1,D
166,1935-03-31,1934,Sampierdarenese,Pro Vercelli,0-0,0,0,1,D
167,1935-03-31,1934,Torino FC,AC Milan,1-1,1,1,1,D
168,1935-03-31,1934,Unione Triestina,Bologna FC,1-3,1,3,1,A
169,1935-04-07,1934,Juventus,US Livorno,2-1,2,1,1,H
170,1935-04-07,1934,AS Roma,Inter,3-4,3,4,1,A
171,1935-04-07,1934,AC Milan,Lazio Roma,1-1,1,1,1,D
172,1935-04-07,1934,Brescia Calcio,SSC Napoli,0-1,0,1,1,A
173,1935-04-07,1934,Bologna FC,US Palermo,0-0,0,0,1,D
174,1935-04-07,1934,US Alessandria 1912,Unione Triestina,3-0,3,0,1,H
175,1935-04-07,1934,Pro Vercelli,Torino FC,0-3,0,3,1,A
176,1935-04-07,1934,ACF Fiorentina,Sampierdarenese,0-0,0,0,1,D
177,1935-04-14,1934,Lazio Roma,Pro Vercelli,6-0,6,0,1,H
178,1935-04-14,1934,Unione Triestina,Juventus,2-1,2,1,1,H
179,1935-04-14,1934,Torino FC,ACF Fiorentina,1-0,1,0,1,H
180,1935-04-14,1934,Sampierdarenese,Brescia Calcio,3-0,3,0,1,H
181,1935-04-14,1934,US Livorno,AS Roma,1-1,1,1,1,D
182,1935-04-14,1934,Bologna FC,US Alessandria 1912,3-3,3,3,1,D
183,1935-04-14,1934,Inter,AC Milan,2-0,2,0,1,H
184,1935-04-14,1934,US Palermo,SSC Napoli,2-0,2,0,1,H
185,1935-04-21,1934,SSC Napoli,Sampierdarenese,1-1,1,1,1,D
186,1935-04-21,1934,AS Roma,Unione Triestina,1-2,1,2,1,A
187,1935-04-21,1934,US Palermo,US Alessandria 1912,2-0,2,0,1,H
188,1935-04-21,1934,Juventus,Bologna FC,1-0,1,0,1,H
