,Date,Season,home,visitor,HT,FT,hgoal,vgoal,tier,round,group,notes,result
12116,1985-11-03,1985,Real Valladolid,FC Barcelona,0-0,2-2,2,2,1,league,NA,NA,D
12117,1985-11-03,1985,Celta Vigo,Sevilla FC,1-0,1-2,1,2,1,league,NA,NA,A
12118,1985-11-07,1985,Real Betis,Valencia CF,0-0,0-0,0,0,1,league,NA,NA,D
12119,1985-11-09,1985,FC Barcelona,Real Madrid,1-0,2-0,2,0,1,league,NA,NA,H
12120,1985-11-10,1985,Sevilla FC,Sporting Gijon,0-0,0-0,0,0,1,league,NA,NA,D
12121,1985-11-10,1985,Athletic Bilbao,Real Sociedad,1-0,2-0,2,0,1,league,NA,NA,H
12122,1985-11-10,1985,Cadiz CF,Real Valladolid,1-0,1-0,1,0,1,league,NA,NA,H
12123,1985-11-10,1985,UD Las Palmas,Racing Santander,0-0,1-0,1,0,1,league,NA,NA,H
12124,1985-11-10,1985,Atletico Madrid,Valencia CF,3-0,5-0,5,0,1,league,NA,NA,H
12125,1985-11-10,1985,Real Zaragoza,Espanyol Barcelona,1-0,1-0,1,0,1,league,NA,NA,H
12126,1985-11-10,1985,Hercules CF,Celta Vigo,3-0,5-2,5,2,1,league,NA,NA,H
12127,1985-11-10,1985,CA Osasuna,Real Betis,0-0,1-0,1,0,1,league,NA,NA,H
12128,1985-11-16,1985,Espanyol Barcelona,Atletico Madrid,0-0,1-2,1,2,1,league,NA,NA,A
12129,1985-11-17,1985,Real Sociedad,Sevilla FC,0-0,1-0,1,0,1,league,NA,NA,H
12130,1985-11-17,1985,Real Madrid,Cadiz CF,2-1,3-1,3,1,1,league,NA,NA,H
12131,1985-11-17,1985,Sporting Gijon,Hercules CF,1-0,3-1,3,1,1,league,NA,NA,H
12132,1985-11-17,1985,Valencia CF,CA Osasuna,1-1,1-1,1,1,1,league,NA,NA,D
12133,1985-11-17,1985,Racing Santander,Real Zaragoza,2-1,2-3,2,3,1,league,NA,NA,A
12134,1985-11-17,1985,Real Betis,Athletic Bilbao,2-0,2-0,2,0,1,league,NA,NA,H
12135,1985-11-17,1985,Celta Vigo,FC Barcelona,0-0,0-2,0,2,1,league,NA,NA,A
12136,1985-11-17,1985,Real Valladolid,UD Las Palmas,4-1,4-2,4,2,1,league,NA,NA,H
12137,1985-11-23,1985,FC Barcelona,Sporting Gijon,1-0,2-0,2,0,1,league,NA,NA,H
12138,1985-11-23,1985,UD Las Palmas,Real Zaragoza,2-1,2-2,2,2,1,league,NA,NA,D
12139,1985-11-23,1985,Athletic Bilbao,Valencia CF,1-2,2-2,2,2,1,league,NA,NA,D
12140,1985-11-24,1985,Hercules CF,Real Sociedad,1-0,2-0,2,0,1,league,NA,NA,H
12141,1985-11-24,1985,CA Osasuna,Espanyol Barcelona,2-0,2-0,2,0,1,league,NA,NA,H
12142,1985-11-24,1985,Sevilla FC,Real Betis,1-0,1-0,1,0,1,league,NA,NA,H
12143,1985-11-24,1985,Atletico Madrid,Racing Santander,1-0,2-0,2,0,1,league,NA,NA,H
12144,1985-11-24,1985,Real Valladolid,Real Madrid,2-1,3-2,3,2,1,league,NA,NA,H
12145,1985-11-24,1985,Cadiz CF,Celta Vigo,1-0,1-0,1,0,1,league,NA,NA,H
12146,1985-11-27,1985,FC Barcelona,UD Las Palmas,0-1,3-1,3,1,1,league,NA,NA,H
12147,1985-12-01,1985,Valencia CF,Sevilla FC,0-1,0-1,0,1,1,league,NA,NA,A
12148,1985-12-01,1985,Sporting Gijon,Cadiz CF,1-0,2-2,2,2,1,league,NA,NA,D
12149,1985-12-01,1985,Real Betis,Hercules CF,0-0,1-0,1,0,1,league,NA,NA,H
12150,1985-12-01,1985,Racing Santander,CA Osasuna,1-0,1-0,1,0,1,league,NA,NA,H
12151,1985-12-01,1985,Real Madrid,UD Las Palmas,3-1,5-1,5,1,1,league,NA,NA,H
12152,1985-12-01,1985,Real Zaragoza,Atletico Madrid,0-0,0-0,0,0,1,league,NA,NA,D
12153,1985-12-01,1985,Espanyol Barcelona,Athletic Bilbao,0-0,1-0,1,0,1,league,NA,NA,H
12154,1985-12-01,1985,Celta Vigo,Real Valladolid,2-0,3-2,3,2,1,league,NA,NA,H
12155,1985-12-01,1985,Real Sociedad,FC Barcelona,0-1,1-5,1,5,1,league,NA,NA,A
12156,1985-12-07,1985,Athletic Bilbao,Racing Santander,2-0,3-0,3,0,1,league,NA,NA,H
12157,1985-12-07,1985,Real Valladolid,Sporting Gijon,0-0,0-1,0,1,1,league,NA,NA,A
12158,1985-12-07,1985,Real Madrid,Celta Vigo,1-0,4-0,4,0,1,league,NA,NA,H
12159,1985-12-08,1985,Hercules CF,Valencia CF,1-1,3-2,3,2,1,league,NA,NA,H
12160,1985-12-08,1985,UD Las Palmas,Atletico Madrid,1-2,1-3,1,3,1,league,NA,NA,A
12161,1985-12-08,1985,Cadiz CF,Real Sociedad,2-0,3-0,3,0,1,league,NA,NA,H
12162,1985-12-08,1985,FC Barcelona,Real Betis,0-1,1-2,1,2,1,league,NA,NA,A
12163,1985-12-08,1985,CA Osasuna,Real Zaragoza,0-1,2-1,2,1,1,league,NA,NA,H
12164,1985-12-08,1985,Sevilla FC,Espanyol Barcelona,1-1,1-1,1,1,1,league,NA,NA,D
12165,1985-12-15,1985,Real Sociedad,Real Valladolid,1-0,2-1,2,1,1,league,NA,NA,H
12166,1985-12-15,1985,Real Betis,Cadiz CF,2-0,4-1,4,1,1,league,NA,NA,H
12167,1985-12-15,1985,Atletico Madrid,CA Osasuna,1-0,1-0,1,0,1,league,NA,NA,H
12168,1985-12-15,1985,UD Las Palmas,Celta Vigo,1-0,1-1,1,1,1,league,NA,NA,D
12169,1985-12-15,1985,Racing Santander,Sevilla FC,0-0,1-0,1,0,1,league,NA,NA,H
12170,1985-12-15,1985,Real Zaragoza,Athletic Bilbao,0-0,0-1,0,1,1,league,NA,NA,A
12171,1985-12-15,1985,Valencia CF,FC Barcelona,1-1,1-2,1,2,1,league,NA,NA,A
12172,1985-12-15,1985,Sporting Gijon,Real Madrid,0-1,0-2,0,2,1,league,NA,NA,A
12173,1985-12-15,1985,Espanyol Barcelona,Hercules CF,1-1,4-1,4,1,1,league,NA,NA,H
12174,1985-12-22,1985,Hercules CF,Racing Santander,1-0,1-0,1,0,1,league,NA,NA,H
12175,1985-12-22,1985,FC Barcelona,Espanyol Barcelona,0-0,0-0,0,0,1,league,NA,NA,D
12176,1985-12-22,1985,Cadiz CF,Valencia CF,0-1,2-3,2,3,1,league,NA,NA,A
12177,1985-12-22,1985,Athletic Bilbao,Atletico Madrid,1-0,1-1,1,1,1,league,NA,NA,D
12178,1985-12-22,1985,Real Madrid,Real Sociedad,0-0,1-0,1,0,1,league,NA,NA,H
12179,1985-12-22,1985,Sevilla FC,Real Zaragoza,0-0,0-0,0,0,1,league,NA,NA,D
12180,1985-12-22,1985,Real Valladolid,Real Betis,3-1,4-2,4,2,1,league,NA,NA,H
12181,1985-12-22,1985,CA Osasuna,UD Las Palmas,0-0,0-1,0,1,1,league,NA,NA,A
12182,1985-12-22,1985,Celta Vigo,Sporting Gijon,1-0,1-1,1,1,1,league,NA,NA,D
12183,1985-12-29,1985,Real Valladolid,Valencia CF,1-2,3-3,3,3,1,league,NA,NA,D
12184,1985-12-29,1985,Sevilla FC,Atletico Madrid,1-1,2-1,2,1,1,league,NA,NA,H
12185,1985-12-29,1985,Celta Vigo,Real Sociedad,0-1,1-3,1,3,1,league,NA,NA,A
12186,1985-12-29,1985,Hercules CF,Real Zaragoza,1-0,2-2,2,2,1,league,NA,NA,D
12187,1985-12-29,1985,Real Madrid,Real Betis,0-1,4-1,4,1,1,league,NA,NA,H
12188,1985-12-29,1985,Sporting Gijon,UD Las Palmas,0-0,1-0,1,0,1,league,NA,NA,H
12189,1985-12-29,1985,FC Barcelona,Racing Santander,0-0,2-0,2,0,1,league,NA,NA,H
12190,1985-12-29,1985,Athletic Bilbao,CA Osasuna,0-0,2-0,2,0,1,league,NA,NA,H
12191,1985-12-29,1985,Cadiz CF,Espanyol Barcelona,0-0,0-0,0,0,1,league,NA,NA,D
12192,1986-01-04,1985,UD Las Palmas,Athletic Bilbao,1-1,2-2,2,2,1,league,NA,NA,D
12193,1986-01-05,1985,Valencia CF,Real Madrid,0-0,0-3,0,3,1,league,NA,NA,A
12194,1986-01-05,1985,Racing Santander,Cadiz CF,0-0,3-0,3,0,1,league,NA,NA,H
12195,1986-01-05,1985,Atletico Madrid,Hercules CF,1-0,1-0,1,0,1,league,NA,NA,H
12196,1986-01-05,1985,Espanyol Barcelona,Real Valladolid,1-0,2-1,2,1,1,league,NA,NA,H
12197,1986-01-05,1985,Real Sociedad,Sporting Gijon,0-0,2-1,2,1,1,league,NA,NA,H
12198,1986-01-05,1985,Real Betis,Celta Vigo,1-1,3-2,3,2,1,league,NA,NA,H
12199,1986-01-05,1985,Real Zaragoza,FC Barcelona,0-1,1-3,1,3,1,league,NA,NA,A
12200,1986-01-05,1985,CA Osasuna,Sevilla FC,0-0,0-0,0,0,1,league,NA,NA,D
12201,1986-01-11,1985,FC Barcelona,Atletico Madrid,1-1,2-1,2,1,1,league,NA,NA,H
12202,1986-01-12,1985,Sporting Gijon,Real Betis,0-0,0-0,0,0,1,league,NA,NA,D
12203,1986-01-12,1985,Sevilla FC,Athletic Bilbao,0-0,0-0,0,0,1,league,NA,NA,D
12204,1986-01-12,1985,Hercules CF,CA Osasuna,0-1,1-1,1,1,1,league,NA,NA,D
12205,1986-01-12,1985,Real Valladolid,Racing Santander,0-0,1-0,1,0,1,league,NA,NA,H
12206,1986-01-12,1985,Real Sociedad,UD Las Palmas,4-0,6-0,6,0,1,league,NA,NA,H
12207,1986-01-12,1985,Real Madrid,Espanyol Barcelona,2-1,4-1,4,1,1,league,NA,NA,H
12208,1986-01-12,1985,Celta Vigo,Valencia CF,1-0,1-0,1,0,1,league,NA,NA,H
12209,1986-01-12,1985,Cadiz CF,Real Zaragoza,1-2,1-3,1,3,1,league,NA,NA,A
12210,1986-01-18,1985,Valencia CF,Sporting Gijon,0-0,1-1,1,1,1,league,NA,NA,D
12211,1986-01-19,1985,Real Betis,Real Sociedad,1-1,1-3,1,3,1,league,NA,NA,A
12212,1986-01-19,1985,Atletico Madrid,Cadiz CF,2-0,2-1,2,1,1,league,NA,NA,H
12213,1986-01-19,1985,Athletic Bilbao,Hercules CF,1-0,1-0,1,0,1,league,NA,NA,H
12214,1986-01-19,1985,Espanyol Barcelona,Celta Vigo,0-0,1-0,1,0,1,league,NA,NA,H
12215,1986-01-19,1985,UD Las Palmas,Sevilla FC,1-2,2-5,2,5,1,league,NA,NA,A
12216,1986-01-19,1985,CA Osasuna,FC Barcelona,0-1,0-1,0,1,1,league,NA,NA,A
12217,1986-01-19,1985,Racing Santander,Real Madrid,0-0,1-1,1,1,1,league,NA,NA,D
12218,1986-01-19,1985,Real Zaragoza,Real Valladolid,1-0,1-0,1,0,1,league,NA,NA,H
12219,1986-01-26,1985,Sporting Gijon,Espanyol Barcelona,0-0,1-1,1,1,1,league,NA,NA,D
12220,1986-01-26,1985,Cadiz CF,CA Osasuna,1-0,2-0,2,0,1,league,NA,NA,H
12221,1986-01-26,1985,Celta Vigo,Racing Santander,0-0,1-2,1,2,1,league,NA,NA,A
12222,1986-01-26,1985,Real Betis,UD Las Palmas,1-0,1-1,1,1,1,league,NA,NA,D
12223,1986-01-26,1985,Real Madrid,Real Zaragoza,1-0,1-0,1,0,1,league,NA,NA,H
12224,1986-01-26,1985,Real Sociedad,Valencia CF,2-0,6-0,6,0,1,league,NA,NA,H
12225,1986-01-26,1985,Real Valladolid,Atletico Madrid,1-1,2-1,2,1,1,league,NA,NA,H
12226,1986-01-26,1985,FC Barcelona,Athletic Bilbao,2-0,3-1,3,1,1,league,NA,NA,H
12227,1986-01-26,1985,Hercules CF,Sevilla FC,1-0,2-1,2,1,1,league,NA,NA,H
12228,1986-02-01,1985,UD Las Palmas,Hercules CF,1-0,2-1,2,1,1,league,NA,NA,H
12229,1986-02-01,1985,Espanyol Barcelona,Real Sociedad,2-1,2-2,2,2,1,league,NA,NA,D
12230,1986-02-02,1985,Sevilla FC,FC Barcelona,0-0,0-0,0,0,1,league,NA,NA,D
12231,1986-02-02,1985,Athletic Bilbao,Cadiz CF,1-0,2-0,2,0,1,league,NA,NA,H
12232,1986-02-02,1985,CA Osasuna,Real Valladolid,2-1,2-1,2,1,1,league,NA,NA,H
12233,1986-02-02,1985,Valencia CF,Real Betis,0-2,0-2,0,2,1,league,NA,NA,A
12234,1986-02-02,1985,Atletico Madrid,Real Madrid,0-1,0-1,0,1,1,league,NA,NA,A
12235,1986-02-02,1985,Real Zaragoza,Celta Vigo,3-0,6-0,6,0,1,league,NA,NA,H
12236,1986-02-08,1985,FC Barcelona,Hercules CF,1-1,3-1,3,1,1,league,NA,NA,H
12237,1986-02-09,1985,Celta Vigo,Atletico Madrid,0-0,0-1,0,1,1,league,NA,NA,A
12238,1986-02-09,1985,Real Sociedad,Racing Santander,0-0,1-1,1,1,1,league,NA,NA,D
12239,1986-02-09,1985,Valencia CF,UD Las Palmas,0-0,1-1,1,1,1,league,NA,NA,D
12240,1986-02-09,1985,Real Madrid,CA Osasuna,1-0,2-0,2,0,1,league,NA,NA,H
12241,1986-02-09,1985,Real Betis,Espanyol Barcelona,0-0,1-0,1,0,1,league,NA,NA,H
12242,1986-02-09,1985,Real Valladolid,Athletic Bilbao,0-1,0-1,0,1,1,league,NA,NA,A
12243,1986-02-09,1985,Sporting Gijon,Real Zaragoza,2-0,2-2,2,2,1,league,NA,NA,D
12244,1986-02-09,1985,Cadiz CF,Sevilla FC,0-2,0-4,0,4,1,league,NA,NA,A
12245,1986-02-16,1985,Real Zaragoza,Real Sociedad,2-1,3-1,3,1,1,league,NA,NA,H
12246,1986-02-16,1985,Hercules CF,Cadiz CF,1-0,1-1,1,1,1,league,NA,NA,D
12247,1986-02-16,1985,Sevilla FC,Real Valladolid,0-0,1-0,1,0,1,league,NA,NA,H
12248,1986-02-16,1985,Atletico Madrid,Sporting Gijon,1-1,1-1,1,1,1,league,NA,NA,D
12249,1986-02-16,1985,Racing Santander,Real Betis,0-1,1-1,1,1,1,league,NA,NA,D
12250,1986-02-16,1985,Espanyol Barcelona,Valencia CF,1-0,2-1,2,1,1,league,NA,NA,H
12251,1986-02-16,1985,UD Las Palmas,FC Barcelona,2-0,3-0,3,0,1,league,NA,NA,H
12252,1986-02-16,1985,Athletic Bilbao,Real Madrid,1-2,1-2,1,2,1,league,NA,NA,A
12253,1986-02-16,1985,CA Osasuna,Celta Vigo,1-1,2-1,2,1,1,league,NA,NA,H
12254,1986-02-22,1985,Real Sociedad,Atletico Madrid,0-1,2-3,2,3,1,league,NA,NA,A
12255,1986-02-23,1985,Real Madrid,Sevilla FC,1-1,2-1,2,1,1,league,NA,NA,H
12256,1986-02-23,1985,Real Valladolid,Hercules CF,1-0,3-1,3,1,1,league,NA,NA,H
12257,1986-02-23,1985,Sporting Gijon,CA Osasuna,1-1,1-2,1,2,1,league,NA,NA,A
12258,1986-02-23,1985,Valencia CF,Racing Santander,0-1,0-1,0,1,1,league,NA,NA,A
12259,1986-02-23,1985,Real Betis,Real Zaragoza,0-0,0-1,0,1,1,league,NA,NA,A
12260,1986-02-23,1985,Celta Vigo,Athletic Bilbao,0-1,0-1,0,1,1,league,NA,NA,A
12261,1986-02-23,1985,Cadiz CF,FC Barcelona,1-1,1-3,1,3,1,league,NA,NA,A
12262,1986-02-23,1985,Espanyol Barcelona,UD Las Palmas,1-0,2-0,2,0,1,league,NA,NA,H
12263,1986-02-26,1985,Racing Santander,Sporting Gijon,0-0,0-1,0,1,1,league,NA,NA,A
12264,1986-03-01,1985,UD Las Palmas,Cadiz CF,1-2,2-2,2,2,1,league,NA,NA,D
12265,1986-03-01,1985,FC Barcelona,Real Valladolid,2-0,4-0,4,0,1,league,NA,NA,H
12266,1986-03-02,1985,Racing Santander,Espanyol Barcelona,1-1,2-2,2,2,1,league,NA,NA,D
12267,1986-03-02,1985,Athletic Bilbao,Sporting Gijon,1-0,2-0,2,0,1,league,NA,NA,H
12268,1986-03-02,1985,Sevilla FC,Celta Vigo,1-1,2-1,2,1,1,league,NA,NA,H
12269,1986-03-02,1985,Atletico Madrid,Real Betis,1-1,2-1,2,1,1,league,NA,NA,H
12270,1986-03-02,1985,Real Zaragoza,Valencia CF,0-0,2-1,2,1,1,league,NA,NA,H
12271,1986-03-02,1985,Hercules CF,Real Madrid,0-1,0-3,0,3,1,league,NA,NA,A
12272,1986-03-02,1985,CA Osasuna,Real Sociedad,1-1,1-2,1,2,1,league,NA,NA,A
12273,1986-03-08,1985,Real Madrid,FC Barcelona,0-0,3-1,3,1,1,league,NA,NA,H
12274,1986-03-09,1985,Real Betis,CA Osasuna,1-0,1-0,1,0,1,league,NA,NA,H
12275,1986-03-09,1985,Sporting Gijon,Sevilla FC,0-0,2-1,2,1,1,league,NA,NA,H
12276,1986-03-09,1985,Real Valladolid,Cadiz CF,2-0,3-0,3,0,1,league,NA,NA,H
12277,1986-03-09,1985,Celta Vigo,Hercules CF,0-2,1-2,1,2,1,league,NA,NA,A
12278,1986-03-09,1985,Valencia CF,Atletico Madrid,0-0,1-1,1,1,1,league,NA,NA,D
12279,1986-03-09,1985,Real Sociedad,Athletic Bilbao,1-0,1-0,1,0,1,league,NA,NA,H
12280,1986-03-09,1985,Racing Santander,UD Las Palmas,0-0,0-0,0,0,1,league,NA,NA,D
12281,1986-03-09,1985,Espanyol Barcelona,Real Zaragoza,0-1,1-2,1,2,1,league,NA,NA,A
12282,1986-03-15,1985,UD Las Palmas,Real Valladolid,1-0,1-0,1,0,1,league,NA,NA,H
12283,1986-03-15,1985,FC Barcelona,Celta Vigo,1-1,1-1,1,1,1,league,NA,NA,D
12284,1986-03-15,1985,Athletic Bilbao,Real Betis,2-0,2-1,2,1,1,league,NA,NA,H
12285,1986-03-16,1985,Cadiz CF,Real Madrid,1-1,1-3,1,3,1,league,NA,NA,A
12286,1986-03-16,1985,Real Zaragoza,Racing Santander,0-0,1-0,1,0,1,league,NA,NA,H
12287,1986-03-16,1985,Hercules CF,Sporting Gijon,0-1,0-1,0,1,1,league,NA,NA,A
12288,1986-03-16,1985,Sevilla FC,Real Sociedad,1-1,3-1,3,1,1,league,NA,NA,H
12289,1986-03-16,1985,Atletico Madrid,Espanyol Barcelona,0-0,2-0,2,0,1,league,NA,NA,H
12290,1986-03-16,1985,CA Osasuna,Valencia CF,2-0,2-0,2,0,1,league,NA,NA,H
12291,1986-03-22,1985,Espanyol Barcelona,CA Osasuna,0-1,0-1,0,1,1,league,NA,NA,A
12292,1986-03-23,1985,Real Zaragoza,UD Las Palmas,1-0,4-0,4,0,1,league,NA,NA,H
12293,1986-03-23,1985,Real Betis,Sevilla FC,1-0,1-0,1,0,1,league,NA,NA,H
12294,1986-03-23,1985,Real Madrid,Real Valladolid,0-0,2-1,2,1,1,league,NA,NA,H
12295,1986-03-23,1985,Celta Vigo,Cadiz CF,1-2,1-2,1,2,1,league,NA,NA,A
12296,1986-03-23,1985,Valencia CF,Athletic Bilbao,0-2,1-2,1,2,1,league,NA,NA,A
12297,1986-03-23,1985,Sporting Gijon,FC Barcelona,0-1,1-1,1,1,1,league,NA,NA,D
12298,1986-03-23,1985,Racing Santander,Atletico Madrid,0-0,2-0,2,0,1,league,NA,NA,H
12299,1986-03-23,1985,Real Sociedad,Hercules CF,3-0,6-0,6,0,1,league,NA,NA,H
12300,1986-03-29,1985,Atletico Madrid,Real Zaragoza,0-1,0-2,0,2,1,league,NA,NA,A
12301,1986-03-29,1985,FC Barcelona,Real Sociedad,0-1,2-3,2,3,1,league,NA,NA,A
12302,1986-03-29,1985,UD Las Palmas,Real Madrid,0-0,4-3,4,3,1,league,NA,NA,H
12303,1986-03-30,1985,Athletic Bilbao,Espanyol Barcelona,0-0,1-0,1,0,1,league,NA,NA,H
12304,1986-03-30,1985,CA Osasuna,Racing Santander,0-1,1-1,1,1,1,league,NA,NA,D
12305,1986-03-30,1985,Cadiz CF,Sporting Gijon,0-0,0-0,0,0,1,league,NA,NA,D
12306,1986-03-30,1985,Real Valladolid,Celta Vigo,2-0,4-0,4,0,1,league,NA,NA,H
12307,1986-03-30,1985,Sevilla FC,Valencia CF,0-0,0-2,0,2,1,league,NA,NA,A
12308,1986-03-30,1985,Hercules CF,Real Betis,1-1,2-3,2,3,1,league,NA,NA,A
12309,1986-04-05,1985,Racing Santander,Athletic Bilbao,0-0,0-0,0,0,1,league,NA,NA,D
12310,1986-04-06,1985,Atletico Madrid,UD Las Palmas,0-0,1-0,1,0,1,league,NA,NA,H
12311,1986-04-06,1985,Sporting Gijon,Real Valladolid,2-0,3-0,3,0,1,league,NA,NA,H
12312,1986-04-06,1985,Real Zaragoza,CA Osasuna,1-0,1-1,1,1,1,league,NA,NA,D
12313,1986-04-06,1985,Real Sociedad,Cadiz CF,3-0,4-0,4,0,1,league,NA,NA,H
12314,1986-04-06,1985,Real Betis,FC Barcelona,1-0,1-1,1,1,1,league,NA,NA,D
12315,1986-04-06,1985,Celta Vigo,Real Madrid,1-4,1-5,1,5,1,league,NA,NA,A
12316,1986-04-06,1985,Valencia CF,Hercules CF,2-0,3-1,3,1,1,league,NA,NA,H
12317,1986-04-06,1985,Espanyol Barcelona,Sevilla FC,2-1,4-2,4,2,1,league,NA,NA,H
12318,1986-04-12,1985,Real Madrid,Sporting Gijon,1-1,2-1,2,1,1,league,NA,NA,H
12319,1986-04-12,1985,FC Barcelona,Valencia CF,2-0,3-0,3,0,1,league,NA,NA,H
12320,1986-04-13,1985,Athletic Bilbao,Real Zaragoza,0-0,1-1,1,1,1,league,NA,NA,D
12321,1986-04-13,1985,Sevilla FC,Racing Santander,0-0,0-1,0,1,1,league,NA,NA,A
12322,1986-04-13,1985,Cadiz CF,Real Betis,0-0,0-0,0,0,1,league,NA,NA,D
12323,1986-04-13,1985,Real Valladolid,Real Sociedad,2-0,4-1,4,1,1,league,NA,NA,H
12324,1986-04-13,1985,CA Osasuna,Atletico Madrid,1-0,1-1,1,1,1,league,NA,NA,D
12325,1986-04-13,1985,Hercules CF,Espanyol Barcelona,1-1,1-1,1,1,1,league,NA,NA,D
12326,1986-04-13,1985,Celta Vigo,UD Las Palmas,2-0,4-0,4,0,1,league,NA,NA,H
12327,1986-04-19,1985,UD Las Palmas,CA Osasuna,0-0,0-0,0,0,1,league,NA,NA,D
12328,1986-04-20,1985,Valencia CF,Cadiz CF,0-0,1-0,1,0,1,league,NA,NA,H
12329,1986-04-20,1985,Real Sociedad,Real Madrid,1-2,5-3,5,3,1,league,NA,NA,H
12330,1986-04-20,1985,Espanyol Barcelona,FC Barcelona,3-0,5-3,5,3,1,league,NA,NA,H
12331,1986-04-20,1985,Atletico Madrid,Athletic Bilbao,0-1,3-1,3,1,1,league,NA,NA,H
12332,1986-04-20,1985,Real Zaragoza,Sevilla FC,1-0,1-1,1,1,1,league,NA,NA,D
12333,1986-04-20,1985,Sporting Gijon,Celta Vigo,1-0,2-0,2,0,1,league,NA,NA,H
12334,1986-04-20,1985,Real Betis,Real Valladolid,1-1,1-1,1,1,1,league,NA,NA,D
12335,1986-04-20,1985,Racing Santander,Hercules CF,3-0,4-1,4,1,1,league,NA,NA,H
12336,1986-08-30,1986,UD Las Palmas,Real Valladolid,2-0,2-0,2,0,1,league,NA,NA,H
12337,1986-08-30,1986,FC Barcelona,Racing Santander,2-0,2-0,2,0,1,league,NA,NA,H
12338,1986-08-30,1986,Sporting Gijon,Athletic Bilbao,1-0,2-0,2,0,1,league,NA,NA,H
12339,1986-08-31,1986,Real Sociedad,Cadiz CF,1-0,4-0,4,0,1,league,NA,NA,H
12340,1986-08-31,1986,CA Osasuna,RCD Mallorca,0-0,0-0,0,0,1,league,NA,NA,D
12341,1986-08-31,1986,Real Murcia,Real Madrid,1-2,1-3,1,3,1,league,NA,NA,A
12342,1986-08-31,1986,Atletico Madrid,Espanyol Barcelona,0-1,1-1,1,1,1,league,NA,NA,D
12343,1986-08-31,1986,Real Zaragoza,Sevilla FC,1-0,2-0,2,0,1,league,NA,NA,H
12344,1986-08-31,1986,Real Betis,CE Sabadell,0-0,1-0,1,0,1,league,NA,NA,H
12345,1986-09-06,1986,Athletic Bilbao,Real Zaragoza,0-0,1-0,1,0,1,league,NA,NA,H
12346,1986-09-06,1986,Espanyol Barcelona,Real Murcia,0-0,2-0,2,0,1,league,NA,NA,H
12347,1986-09-06,1986,RCD Mallorca,FC Barcelona,1-1,1-1,1,1,1,league,NA,NA,D
12348,1986-09-07,1986,Racing Santander,Atletico Madrid,1-1,1-1,1,1,1,league,NA,NA,D
12349,1986-09-07,1986,CE Sabadell,Real Sociedad,1-1,2-2,2,2,1,league,NA,NA,D
12350,1986-09-07,1986,Sevilla FC,Real Betis,1-1,1-2,1,2,1,league,NA,NA,A
12351,1986-09-07,1986,Real Madrid,UD Las Palmas,0-0,1-1,1,1,1,league,NA,NA,D
12352,1986-09-07,1986,Real Valladolid,Sporting Gijon,0-0,2-0,2,0,1,league,NA,NA,H
12353,1986-09-07,1986,Cadiz CF,CA Osasuna,0-0,0-0,0,0,1,league,NA,NA,D
12354,1986-09-10,1986,Sporting Gijon,Real Madrid,2-2,2-2,2,2,1,league,NA,NA,D
12355,1986-09-10,1986,FC Barcelona,Cadiz CF,2-0,2-0,2,0,1,league,NA,NA,H
12356,1986-09-10,1986,Racing Santander,RCD Mallorca,1-0,1-2,1,2,1,league,NA,NA,A
12357,1986-09-10,1986,CA Osasuna,CE Sabadell,1-1,1-1,1,1,1,league,NA,NA,D
12358,1986-09-10,1986,Atletico Madrid,Real Murcia,0-0,2-0,2,0,1,league,NA,NA,H
12359,1986-09-10,1986,Real Zaragoza,Real Valladolid,0-0,0-0,0,0,1,league,NA,NA,D
12360,1986-09-10,1986,Real Sociedad,Sevilla FC,0-2,0-2,0,2,1,league,NA,NA,A
12361,1986-09-10,1986,UD Las Palmas,Espanyol Barcelona,1-0,3-2,3,2,1,league,NA,NA,H
12362,1986-09-10,1986,Real Betis,Athletic Bilbao,0-0,0-0,0,0,1,league,NA,NA,D
12363,1986-09-13,1986,Real Madrid,Real Zaragoza,1-1,3-1,3,1,1,league,NA,NA,H
12364,1986-09-13,1986,CE Sabadell,FC Barcelona,1-1,1-1,1,1,1,league,NA,NA,D
12365,1986-09-14,1986,Sevilla FC,CA Osasuna,0-0,1-1,1,1,1,league,NA,NA,D
12366,1986-09-14,1986,Cadiz CF,Racing Santander,1-0,3-0,3,0,1,league,NA,NA,H
12367,1986-09-14,1986,Espanyol Barcelona,Sporting Gijon,0-0,0-0,0,0,1,league,NA,NA,D
12368,1986-09-14,1986,Real Murcia,UD Las Palmas,1-0,1-0,1,0,1,league,NA,NA,H
12369,1986-09-14,1986,Real Valladolid,Real Betis,0-0,2-1,2,1,1,league,NA,NA,H
12370,1986-09-14,1986,Athletic Bilbao,Real Sociedad,1-1,1-1,1,1,1,league,NA,NA,D
12371,1986-09-14,1986,RCD Mallorca,Atletico Madrid,0-1,4-3,4,3,1,league,NA,NA,H
12372,1986-09-21,1986,FC Barcelona,Sevilla FC,0-0,1-0,1,0,1,league,NA,NA,H
12373,1986-09-21,1986,RCD Mallorca,Cadiz CF,0-0,0-1,0,1,1,league,NA,NA,A
12374,1986-09-21,1986,Racing Santander,CE Sabadell,1-0,3-0,3,0,1,league,NA,NA,H
12375,1986-09-21,1986,Sporting Gijon,Real Murcia,2-1,4-1,4,1,1,league,NA,NA,H
12376,1986-09-21,1986,Atletico Madrid,UD Las Palmas,1-0,1-1,1,1,1,league,NA,NA,D
