95,1963-11-23,1963,Karlsruher SC,Werder Bremen,1-1,1,1,1,1,D
96,1963-11-23,1963,Frankfurter SG Eintracht,TSV 1860 Munchen,5-2,5,2,1,1,H
97,1963-11-30,1963,1. FC Nurnberg,Meidericher SV,2-0,2,0,1,1,H
98,1963-11-30,1963,Hertha BSC,Karlsruher SC,2-3,2,3,1,1,A
99,1963-11-30,1963,1. FC Kaiserslautern,Hamburger SV,3-2,3,2,1,1,H
100,1963-11-30,1963,VfB Stuttgart,Eintracht Braunschweig,5-0,5,0,1,1,H
101,1963-11-30,1963,Werder Bremen,1. FC Saarbrucken,0-3,0,3,1,1,A
102,1963-11-30,1963,Frankfurter SG Eintracht,Preussen Munster,3-0,3,0,1,1,H
103,1963-11-30,1963,FC Schalke 04,TSV 1860 Munchen,2-1,2,1,1,1,H
104,1963-11-30,1963,Borussia Dortmund,1. FC Koln,2-3,2,3,1,1,A
105,1963-12-07,1963,Meidericher SV,VfB Stuttgart,3-0,3,0,1,1,H
106,1963-12-07,1963,Preussen Munster,Werder Bremen,1-3,1,3,1,1,A
107,1963-12-07,1963,Karlsruher SC,FC Schalke 04,1-1,1,1,1,1,D
108,1963-12-07,1963,TSV 1860 Munchen,Hertha BSC,1-2,1,2,1,1,A
109,1963-12-07,1963,1. FC Saarbrucken,Frankfurter SG Eintracht,0-4,0,4,1,1,A
110,1963-12-07,1963,1. FC Koln,1. FC Kaiserslautern,5-1,5,1,1,1,H
111,1963-12-07,1963,Eintracht Braunschweig,1. FC Nurnberg,2-0,2,0,1,1,H
113,1963-12-14,1963,1. FC Nurnberg,Hamburger SV,3-2,3,2,1,1,H
114,1963-12-14,1963,Frankfurter SG Eintracht,Karlsruher SC,0-3,0,3,1,1,A
115,1963-12-14,1963,Werder Bremen,TSV 1860 Munchen,4-1,4,1,1,1,H
116,1963-12-14,1963,1. FC Kaiserslautern,Meidericher SV,1-1,1,1,1,1,D
117,1963-12-14,1963,FC Schalke 04,1. FC Saarbrucken,4-1,4,1,1,1,H
118,1963-12-14,1963,VfB Stuttgart,1. FC Koln,0-1,0,1,1,1,A
119,1963-12-14,1963,Hertha BSC,Preussen Munster,2-0,2,0,1,1,H
120,1963-12-14,1963,Borussia Dortmund,Eintracht Braunschweig,3-0,3,0,1,1,H
112,1963-12-21,1963,Hamburger SV,Borussia Dortmund,2-1,2,1,1,1,H
121,1964-01-11,1963,Borussia Dortmund,Werder Bremen,4-3,4,3,1,1,H
122,1964-01-11,1963,1. FC Koln,1. FC Saarbrucken,1-3,1,3,1,1,A
123,1964-01-11,1963,1. FC Kaiserslautern,Frankfurter SG Eintracht,1-1,1,1,1,1,D
124,1964-01-11,1963,Hamburger SV,Preussen Munster,5-0,5,0,1,1,H
125,1964-01-11,1963,Meidericher SV,Karlsruher SC,2-0,2,0,1,1,H
126,1964-01-11,1963,1. FC Nurnberg,Hertha BSC,2-3,2,3,1,1,A
127,1964-01-11,1963,Eintracht Braunschweig,TSV 1860 Munchen,0-1,0,1,1,1,A
129,1964-01-18,1963,TSV 1860 Munchen,Borussia Dortmund,6-1,6,1,1,1,H
130,1964-01-18,1963,Karlsruher SC,1. FC Koln,2-2,2,2,1,1,D
131,1964-01-18,1963,FC Schalke 04,1. FC Kaiserslautern,4-0,4,0,1,1,H
